model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
Qwen/Qwen2.5-0.5B,aqua,0.1725,0.1525,0.193,0.19,8.699,0.5,qwen,0,aqua,0,20,128,0,0.0361,0.1725,0.0,Qwen/Qwen2.5-0.5B-Instruct,0.133,0.114,0.153,0.19,8.699,0,aqua,0,20,51,0,0.0361,0.133,-0.0,-0.0395,0.0,-0.0395,-0.0
Qwen/Qwen2.5-1.5B,aqua,0.1925,0.176,0.208,0.21,9.1761,1.5,qwen,0,aqua,0,20,98,0,0.0441,0.1943,-0.0018,Qwen/Qwen2.5-1.5B-Instruct,0.1695,0.1505,0.189,0.25,9.1761,0,aqua,0,20,38,0,0.0625,0.1645,0.005,-0.023,0.04,-0.0298,0.0068
Qwen/Qwen2.5-3B,aqua,0.179,0.1595,0.198,0.3,9.4771,3.0,qwen,0,aqua,0,20,21,0,0.09,0.1775,0.0015,Qwen/Qwen2.5-3B-Instruct,0.259,0.233,0.2865,0.41,9.4771,0,aqua,0,20,71,0,0.1681,0.1821,0.0769,0.08,0.11,0.0045,0.0755
Qwen/Qwen2.5-7B,aqua,0.2085,0.1785,0.2375,0.37,9.8451,7.0,qwen,0,aqua,0,20,37,0,0.1369,0.1746,0.0339,Qwen/Qwen2.5-7B-Instruct,0.2995,0.256,0.34,0.47,9.8451,0,aqua,0,20,70,0,0.2209,0.1892,0.1103,0.091,0.1,0.0146,0.0764
Qwen/Qwen2.5-14B,aqua,0.2385,0.2075,0.2715,0.45,10.1461,14.0,qwen,0,aqua,0,20,28,0,0.2025,0.1726,0.0659,Qwen/Qwen2.5-14B-Instruct,0.476,0.4115,0.538,0.57,10.1461,0,aqua,0,20,140,0,0.3249,0.1902,0.2858,0.2375,0.12,0.0176,0.2199
Qwen/Qwen2.5-32B,aqua,0.305,0.263,0.348,0.53,10.5051,32.0,qwen,0,aqua,0,20,26,0,0.2809,0.183,0.122,Qwen/Qwen2.5-32B-Instruct,0.5235,0.442,0.602,0.55,10.5051,0,aqua,0,20,237,0,0.3025,0.1817,0.3418,0.2185,0.02,-0.0013,0.2198
Qwen/Qwen2.5-0.5B,arc_challenge,0.2545,0.2237,0.2919,0.3,8.699,0.5,qwen,0,arc_challenge,0,20,249,1,0.09,0.1961,0.0584,Qwen/Qwen2.5-0.5B-Instruct,0.434,0.3835,0.492,0.44,8.699,0,arc_challenge,0,20,79,0,0.1936,0.234,0.2,0.1795,0.14,0.0379,0.1415
Qwen/Qwen2.5-1.5B,arc_challenge,0.2768,0.2525,0.3015,0.62,9.1761,1.5,qwen,0,arc_challenge,0,20,148,1,0.3844,0.2315,0.0452,Qwen/Qwen2.5-1.5B-Instruct,0.2667,0.248,0.2859,0.66,9.1761,0,arc_challenge,0,20,75,1,0.4356,0.2383,0.0284,-0.0101,0.04,0.0067,-0.0168
Qwen/Qwen2.5-3B,arc_challenge,0.2634,0.2433,0.283,0.74,9.4771,3.0,qwen,0,arc_challenge,0,20,86,3,0.5476,0.2385,0.0249,Qwen/Qwen2.5-3B-Instruct,0.3025,0.2798,0.3273,0.77,9.4771,0,arc_challenge,0,20,80,1,0.5929,0.2368,0.0657,0.0391,0.03,-0.0017,0.0408
Qwen/Qwen2.5-7B,arc_challenge,0.3414,0.3106,0.3738,0.78,9.8451,7.0,qwen,0,arc_challenge,0,20,148,1,0.6084,0.2295,0.1119,Qwen/Qwen2.5-7B-Instruct,0.503,0.4645,0.541,0.85,9.8451,0,arc_challenge,0,20,208,0,0.7225,0.2238,0.2792,0.1616,0.07,-0.0057,0.1673
