model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
Qwen/Qwen2.5-0.5B,aqua,0.1725,0.1525,0.193,0.19,8.699,0.5,qwen,0,aqua,0,20,128,0,0.0361,0.1725,0.0,Qwen/Qwen2.5-0.5B-Instruct,0.2325,0.1995,0.2655,0.19,8.699,0,aqua,0,20,11,0,0.0361,0.2325,0.0,0.06,0.0,0.06,-0.0
Qwen/Qwen2.5-1.5B,aqua,0.1925,0.176,0.208,0.21,9.1761,1.5,qwen,0,aqua,0,20,98,0,0.0441,0.1943,-0.0018,Qwen/Qwen2.5-1.5B-Instruct,0.296,0.2338,0.3601,0.39,9.1761,0,aqua,0,20,12,1,0.1521,0.1838,0.1122,0.1035,0.18,-0.0105,0.114
Qwen/Qwen2.5-3B,aqua,0.179,0.1595,0.198,0.3,9.4771,3.0,qwen,0,aqua,0,20,21,0,0.09,0.1775,0.0015,Qwen/Qwen2.5-3B-Instruct,0.353,0.278,0.4291,0.33,9.4771,0,aqua,0,20,0,0,0.1089,0.2004,0.1526,0.174,0.03,0.0229,0.1511
Qwen/Qwen2.5-7B,aqua,0.2085,0.1785,0.2375,0.37,9.8451,7.0,qwen,0,aqua,0,20,37,0,0.1369,0.1746,0.0339,Qwen/Qwen2.5-7B-Instruct,0.4641,0.3752,0.5596,0.41,9.8451,0,aqua,0,20,0,1,0.1681,0.2143,0.2499,0.2556,0.04,0.0397,0.216
Qwen/Qwen2.5-14B,aqua,0.2385,0.2075,0.2715,0.45,10.1461,14.0,qwen,0,aqua,0,20,28,0,0.2025,0.1726,0.0659,Qwen/Qwen2.5-14B-Instruct,0.5434,0.451,0.6329,0.52,10.1461,0,aqua,0,20,0,1,0.2704,0.2015,0.3419,0.3049,0.07,0.0289,0.276
Qwen/Qwen2.5-32B,aqua,0.305,0.263,0.348,0.53,10.5051,32.0,qwen,0,aqua,0,20,26,0,0.2809,0.183,0.122,Qwen/Qwen2.5-32B-Instruct,0.6222,0.5318,0.7106,0.58,10.5051,0,aqua,0,20,0,1,0.3364,0.2054,0.4169,0.3172,0.05,0.0224,0.2948
Qwen/Qwen2.5-0.5B,arc_challenge,0.2545,0.2237,0.2919,0.3,8.699,0.5,qwen,0,arc_challenge,0,20,249,1,0.09,0.1961,0.0584,Qwen/Qwen2.5-0.5B-Instruct,0.4235,0.3785,0.4725,0.4,8.699,0,arc_challenge,0,20,0,0,0.16,0.2271,0.1964,0.169,0.1,0.031,0.138
Qwen/Qwen2.5-1.5B,arc_challenge,0.2768,0.2525,0.3015,0.62,9.1761,1.5,qwen,0,arc_challenge,0,20,148,1,0.3844,0.2315,0.0452,Qwen/Qwen2.5-1.5B-Instruct,0.704,0.6465,0.7625,0.69,9.1761,0,arc_challenge,0,20,0,0,0.4761,0.2372,0.4668,0.4272,0.07,0.0057,0.4216
Qwen/Qwen2.5-3B,arc_challenge,0.2634,0.2433,0.283,0.74,9.4771,3.0,qwen,0,arc_challenge,0,20,86,3,0.5476,0.2385,0.0249,Qwen/Qwen2.5-3B-Instruct,0.7725,0.705,0.838,0.76,9.4771,0,arc_challenge,0,20,1,0,0.5776,0.2324,0.5401,0.5091,0.02,-0.0062,0.5153
Qwen/Qwen2.5-7B,arc_challenge,0.3414,0.3106,0.3738,0.78,9.8451,7.0,qwen,0,arc_challenge,0,20,148,1,0.6084,0.2295,0.1119,Qwen/Qwen2.5-7B-Instruct,0.846,0.776,0.904,0.86,9.8451,0,arc_challenge,0,20,0,0,0.7396,0.236,0.61,0.5046,0.08,0.0064,0.4982
