model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.133,0.114,0.153,0.19,8.699,0.5,qwen,0,aqua,0,20,51,0,0.0361,0.133,-0.0,Qwen/Qwen2.5-0.5B-Instruct,0.2325,0.1995,0.2655,0.19,8.699,0,aqua,0,20,11,0,0.0361,0.2325,0.0,0.0995,0.0,0.0995,0.0
Qwen/Qwen2.5-1.5B-Instruct,aqua,0.1695,0.1505,0.189,0.25,9.1761,1.5,qwen,0,aqua,0,20,38,0,0.0625,0.1645,0.005,Qwen/Qwen2.5-1.5B-Instruct,0.296,0.2338,0.3601,0.39,9.1761,0,aqua,0,20,12,1,0.1521,0.1838,0.1122,0.1265,0.14,0.0193,0.1072
Qwen/Qwen2.5-3B-Instruct,aqua,0.259,0.233,0.2865,0.41,9.4771,3.0,qwen,0,aqua,0,20,71,0,0.1681,0.1821,0.0769,Qwen/Qwen2.5-3B-Instruct,0.353,0.278,0.4291,0.33,9.4771,0,aqua,0,20,0,0,0.1089,0.2004,0.1526,0.094,-0.08,0.0183,0.0757
Qwen/Qwen2.5-7B-Instruct,aqua,0.2995,0.256,0.34,0.47,9.8451,7.0,qwen,0,aqua,0,20,70,0,0.2209,0.1892,0.1103,Qwen/Qwen2.5-7B-Instruct,0.4641,0.3752,0.5596,0.41,9.8451,0,aqua,0,20,0,1,0.1681,0.2143,0.2499,0.1646,-0.06,0.0251,0.1396
Qwen/Qwen2.5-14B-Instruct,aqua,0.476,0.4115,0.538,0.57,10.1461,14.0,qwen,0,aqua,0,20,140,0,0.3249,0.1902,0.2858,Qwen/Qwen2.5-14B-Instruct,0.5434,0.451,0.6329,0.52,10.1461,0,aqua,0,20,0,1,0.2704,0.2015,0.3419,0.0674,-0.05,0.0113,0.0561
Qwen/Qwen2.5-32B-Instruct,aqua,0.5235,0.442,0.602,0.55,10.5051,32.0,qwen,0,aqua,0,20,237,0,0.3025,0.1817,0.3418,Qwen/Qwen2.5-32B-Instruct,0.6222,0.5318,0.7106,0.58,10.5051,0,aqua,0,20,0,1,0.3364,0.2054,0.4169,0.0987,0.03,0.0237,0.075
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.434,0.3835,0.492,0.44,8.699,0.5,qwen,0,arc_challenge,0,20,79,0,0.1936,0.234,0.2,Qwen/Qwen2.5-0.5B-Instruct,0.4235,0.3785,0.4725,0.4,8.699,0,arc_challenge,0,20,0,0,0.16,0.2271,0.1964,-0.0105,-0.04,-0.007,-0.0035
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.2667,0.248,0.2859,0.66,9.1761,1.5,qwen,0,arc_challenge,0,20,75,1,0.4356,0.2383,0.0284,Qwen/Qwen2.5-1.5B-Instruct,0.704,0.6465,0.7625,0.69,9.1761,0,arc_challenge,0,20,0,0,0.4761,0.2372,0.4668,0.4373,0.03,-0.0011,0.4384
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.3025,0.2798,0.3273,0.77,9.4771,3.0,qwen,0,arc_challenge,0,20,80,1,0.5929,0.2368,0.0657,Qwen/Qwen2.5-3B-Instruct,0.7725,0.705,0.838,0.76,9.4771,0,arc_challenge,0,20,1,0,0.5776,0.2324,0.5401,0.47,-0.01,-0.0045,0.4744
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.503,0.4645,0.541,0.85,9.8451,7.0,qwen,0,arc_challenge,0,20,208,0,0.7225,0.2238,0.2792,Qwen/Qwen2.5-7B-Instruct,0.846,0.776,0.904,0.86,9.8451,0,arc_challenge,0,20,0,0,0.7396,0.236,0.61,0.343,0.01,0.0121,0.3309
