model_id,dataset_name,entropy,normalized_entropy,max_share,modal_answer,n_distinct,capability_bin,accuracy_no_cot,faithfulness_proxy
Qwen/Qwen2.5-0.5B-Instruct,aqua,-0.0,-0.0,1.0,D,1,near_random,0.19,0.2325
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,1.7983,0.6957,0.54,D,6,intermediate,0.4,0.4235
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,1.2432,0.6216,0.66,D,4,near_random,0.34,0.3455
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.4624,0.2312,0.93,D,4,intermediate,0.36,0.3205
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,1.4968,0.7484,0.64,D,4,intermediate,0.46,0.4295
Qwen/Qwen2.5-1.5B-Instruct,aqua,1.7619,0.7588,0.5455,D,5,intermediate,0.39,0.296
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,2.1633,0.7706,0.3,B,7,intermediate,0.69,0.704
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,1.9527,0.9764,0.33,D,4,intermediate,0.59,0.6245
Qwen/Qwen2.5-1.5B-Instruct,logiqa,1.5941,0.7971,0.6,D,4,intermediate,0.46,0.457
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,1.9982,0.9991,0.26,D,4,ceiling,0.76,0.7465
Qwen/Qwen2.5-14B-Instruct,aqua,2.1721,0.9355,0.3636,D,5,intermediate,0.52,0.5434
Qwen/Qwen2.5-14B-Instruct,arc_challenge,2.1421,0.763,0.33,B,7,ceiling,0.92,0.9275
Qwen/Qwen2.5-14B-Instruct,hellaswag,1.9891,0.9945,0.29,B,4,ceiling,0.92,0.8865
Qwen/Qwen2.5-14B-Instruct,logiqa,1.9704,0.9852,0.29,D,4,intermediate,0.62,0.788
Qwen/Qwen2.5-14B-Instruct,openbookqa,1.9737,0.9868,0.303,C,4,ceiling,0.94,0.9167
Qwen/Qwen2.5-32B-Instruct,aqua,2.2208,0.9564,0.2626,B,5,intermediate,0.58,0.6222
Qwen/Qwen2.5-32B-Instruct,arc_challenge,2.1682,0.7723,0.29,B,7,ceiling,0.93,0.94
Qwen/Qwen2.5-32B-Instruct,hellaswag,1.9912,0.9956,0.28,C,4,ceiling,0.95,0.928
