model_id,dataset_name,n_questions_used,n_permutations,real_match_rate,shuffled_mean,shuffled_std,null_ci_lower,null_ci_upper,dependence,real_above_null,uniform_chance,log_params,size_b,family,is_quantized
meta-llama/Llama-3.2-1B-Instruct,aqua,100,1000,0.227,0.2078,0.0201,0.171,0.2475,0.0192,False,0.2,9.0,1.0,llama,0
meta-llama/Llama-3.2-3B-Instruct,aqua,99,1000,0.3066,0.2165,0.0285,0.1631,0.2747,0.09,True,0.2,9.4771,3.0,llama,0
meta-llama/Llama-3.1-8B-Instruct,aqua,100,1000,0.2875,0.1928,0.0298,0.1364,0.2505,0.0947,True,0.2,9.9031,8.0,llama,0
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,aqua,98,1000,0.4454,0.2015,0.0347,0.1347,0.2745,0.2439,True,0.2,10.8451,70.0,llama,1
Qwen/Qwen2.5-0.5B-Instruct,aqua,100,1000,0.2325,0.2325,0.0,0.2325,0.2325,0.0,False,0.2,8.699,0.5,qwen,0
Qwen/Qwen2.5-1.5B-Instruct,aqua,99,1000,0.296,0.1838,0.0221,0.1444,0.2288,0.1122,True,0.2,9.1761,1.5,qwen,0
Qwen/Qwen2.5-3B-Instruct,aqua,100,1000,0.353,0.2004,0.0328,0.138,0.2665,0.1526,True,0.2,9.4771,3.0,qwen,0
Qwen/Qwen2.5-7B-Instruct,aqua,99,1000,0.4641,0.2143,0.0362,0.1459,0.2869,0.2499,True,0.2,9.8451,7.0,qwen,0
Qwen/Qwen2.5-14B-Instruct,aqua,99,1000,0.5434,0.2015,0.0365,0.1333,0.2707,0.3419,True,0.2,10.1461,14.0,qwen,0
Qwen/Qwen2.5-32B-Instruct,aqua,99,1000,0.6222,0.2054,0.0382,0.1333,0.2798,0.4169,True,0.2,10.5051,32.0,qwen,0
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,99,1000,0.6101,0.2015,0.0372,0.1313,0.2783,0.4086,True,0.2,10.8573,72.0,qwen,1
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,100,1000,0.502,0.2362,0.0242,0.19,0.285,0.2658,True,0.25,9.0,1.0,llama,0
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,100,1000,0.7025,0.2321,0.0344,0.168,0.2975,0.4704,True,0.25,9.4771,3.0,llama,0
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,100,1000,0.777,0.2446,0.0378,0.1745,0.323,0.5324,True,0.25,9.9031,8.0,llama,0
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,arc_challenge,100,1000,0.9055,0.2352,0.0397,0.1605,0.318,0.6703,True,0.25,10.8451,70.0,llama,1
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,100,1000,0.4235,0.2271,0.019,0.191,0.267,0.1964,True,0.25,8.699,0.5,qwen,0
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,100,1000,0.704,0.2372,0.0325,0.1755,0.306,0.4668,True,0.25,9.1761,1.5,qwen,0
Qwen/Qwen2.5-3B-Instruct,arc_challenge,100,1000,0.7725,0.2324,0.0351,0.163,0.304,0.5401,True,0.25,9.4771,3.0,qwen,0
Qwen/Qwen2.5-7B-Instruct,arc_challenge,100,1000,0.846,0.236,0.0393,0.1675,0.32,0.61,True,0.25,9.8451,7.0,qwen,0
Qwen/Qwen2.5-14B-Instruct,arc_challenge,100,1000,0.9275,0.2389,0.0409,0.1625,0.3195,0.6886,True,0.25,10.1461,14.0,qwen,0
Qwen/Qwen2.5-32B-Instruct,arc_challenge,100,1000,0.94,0.2339,0.0411,0.1565,0.317,0.7061,True,0.25,10.5051,32.0,qwen,0
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,100,1000,0.9835,0.2353,0.0415,0.16,0.316,0.7482,True,0.25,10.8573,72.0,qwen,1
meta-llama/Llama-3.2-1B-Instruct,hellaswag,100,1000,0.322,0.2473,0.0206,0.2085,0.289,0.0747,True,0.25,9.0,1.0,llama,0
meta-llama/Llama-3.2-3B-Instruct,hellaswag,100,1000,0.602,0.2503,0.0318,0.188,0.312,0.3517,True,0.25,9.4771,3.0,llama,0
meta-llama/Llama-3.1-8B-Instruct,hellaswag,100,1000,0.717,0.2456,0.033,0.1805,0.3105,0.4714,True,0.25,9.9031,8.0,llama,0
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,hellaswag,100,1000,0.866,0.2453,0.04,0.1685,0.3235,0.6207,True,0.25,10.8451,70.0,llama,1
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,100,1000,0.3455,0.2478,0.0136,0.2205,0.2735,0.0977,True,0.25,8.699,0.5,qwen,0
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,100,1000,0.6245,0.2503,0.0307,0.192,0.3155,0.3742,True,0.25,9.1761,1.5,qwen,0
Qwen/Qwen2.5-3B-Instruct,hellaswag,100,1000,0.7675,0.2452,0.0355,0.176,0.3195,0.5223,True,0.25,9.4771,3.0,qwen,0
Qwen/Qwen2.5-7B-Instruct,hellaswag,100,1000,0.8215,0.248,0.0389,0.174,0.3245,0.5735,True,0.25,9.8451,7.0,qwen,0
Qwen/Qwen2.5-14B-Instruct,hellaswag,100,1000,0.8865,0.2475,0.0414,0.164,0.328,0.639,True,0.25,10.1461,14.0,qwen,0
Qwen/Qwen2.5-32B-Instruct,hellaswag,100,1000,0.928,0.247,0.0411,0.1675,0.33,0.681,True,0.25,10.5051,32.0,qwen,0
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,100,1000,0.9385,0.2507,0.04,0.1725,0.3275,0.6878,True,0.25,10.8573,72.0,qwen,1
