model_id,dataset_name,n_extractions,agreement_rate,disagreement_rate,n_permissive_only,n_strict_only,n_different_letter,permissive_failure_rate,strict_failure_rate
Qwen/Qwen2.5-0.5B-Instruct,aqua,2100,1.0,0.0,0,0,0,0.0052,0.0052
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,2100,1.0,0.0,0,0,0,0.0019,0.0019
Qwen/Qwen2.5-0.5B-Instruct,logiqa,2100,1.0,0.0,0,0,0,0.0048,0.0048
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,aqua,2100,1.0,0.0,0,0,0,0.0062,0.0062
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-1.5B-Instruct,logiqa,2100,1.0,0.0,0,0,0,0.001,0.001
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-14B-Instruct,aqua,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-14B-Instruct,arc_challenge,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-14B-Instruct,hellaswag,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-14B-Instruct,logiqa,2100,1.0,0.0,0,0,0,0.001,0.001
Qwen/Qwen2.5-14B-Instruct,openbookqa,2100,1.0,0.0,0,0,0,0.0029,0.0029
Qwen/Qwen2.5-32B-Instruct,aqua,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-32B-Instruct,arc_challenge,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,hellaswag,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,logiqa,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-32B-Instruct,openbookqa,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-3B-Instruct,aqua,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-3B-Instruct,arc_challenge,2100,0.9995,0.0005,1,0,0,0.0005,0.001
Qwen/Qwen2.5-3B-Instruct,hellaswag,2100,1.0,0.0,0,0,0,0.0014,0.0014
Qwen/Qwen2.5-3B-Instruct,logiqa,2100,1.0,0.0,0,0,0,0.0076,0.0076
Qwen/Qwen2.5-3B-Instruct,openbookqa,2100,0.999,0.001,2,0,0,0.0048,0.0057
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,2100,1.0,0.0,0,0,0,0.0019,0.0019
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,2100,1.0,0.0,0,0,0,0.0024,0.0024
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,2100,1.0,0.0,0,0,0,0.0019,0.0019
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,2100,1.0,0.0,0,0,0,0.0043,0.0043
Qwen/Qwen2.5-7B-Instruct,aqua,2100,1.0,0.0,0,0,0,0.0005,0.0005
Qwen/Qwen2.5-7B-Instruct,arc_challenge,2100,1.0,0.0,0,0,0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,hellaswag,2100,1.0,0.0,0,0,0,0.0,0.0
