model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,capability_bin
meta-llama/Llama-3.2-1B-Instruct,aqua,0.227,0.185,0.274,0.18,9.0,1.0,llama,1,aqua,0,20,31,0,0.0324,near_random
meta-llama/Llama-3.2-3B-Instruct,aqua,0.3066,0.2434,0.3742,0.28,9.4771,3.0,llama,1,aqua,0,20,32,1,0.0784,near_random
meta-llama/Llama-3.1-8B-Instruct,aqua,0.2875,0.22,0.3555,0.3,9.9031,8.0,llama,1,aqua,0,20,24,0,0.09,near_random
meta-llama/Llama-3.1-70B-Instruct,aqua,0.4878,0.3934,0.5755,0.44,10.8451,70.0,llama,1,aqua,0,20,42,2,0.1936,intermediate
allenai/OLMo-2-0425-1B-Instruct,aqua,0.2375,0.1955,0.282,0.19,9.0,1.0,olmo,0,aqua,0,20,0,0,0.0361,near_random
allenai/OLMo-2-1124-7B-Instruct,aqua,0.2395,0.186,0.294,0.2,9.8451,7.0,olmo,0,aqua,0,20,12,0,0.04,near_random
allenai/OLMo-2-1124-13B-Instruct,aqua,0.2626,0.1995,0.3268,0.26,10.1139,13.0,olmo,0,aqua,0,20,1,1,0.0676,near_random
allenai/OLMo-2-0325-32B-Instruct,aqua,0.3622,0.2857,0.4368,0.33,10.5051,32.0,olmo,0,aqua,0,20,38,2,0.1089,near_random
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.2325,0.1995,0.2655,0.19,8.699,0.5,qwen,0,aqua,0,20,11,0,0.0361,near_random
Qwen/Qwen2.5-1.5B-Instruct,aqua,0.296,0.2338,0.3601,0.39,9.1761,1.5,qwen,0,aqua,0,20,12,1,0.1521,intermediate
Qwen/Qwen2.5-3B-Instruct,aqua,0.353,0.278,0.4291,0.33,9.4771,3.0,qwen,0,aqua,0,20,0,0,0.1089,near_random
