model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
meta-llama/Llama-3.2-1B-Instruct,aqua,0.227,0.185,0.274,0.18,9.0,1.0,llama,1,aqua,0,20,31,0,0.0324,0.2078,0.0192,meta-llama/Llama-3.2-1B-Instruct,0.2625,0.2135,0.308,0.24,9.0,1,aqua,0,20,26,0,0.0576,0.2106,0.0519,0.0355,0.06,0.0028,0.0327
meta-llama/Llama-3.1-8B-Instruct,aqua,0.2875,0.22,0.3555,0.3,9.9031,8.0,llama,1,aqua,0,20,24,0,0.09,0.1928,0.0947,meta-llama/Llama-3.1-8B-Instruct,0.2635,0.195,0.333,0.27,9.9031,1,aqua,0,20,35,0,0.0729,0.1883,0.0752,-0.024,-0.03,-0.0044,-0.0196
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.2325,0.1995,0.2655,0.19,8.699,0.5,qwen,0,aqua,0,20,11,0,0.0361,0.2325,0.0,Qwen/Qwen2.5-0.5B-Instruct,0.22,0.1865,0.253,0.19,8.699,0,aqua,0,20,15,0,0.0361,0.22,-0.0,-0.0125,0.0,-0.0125,-0.0
Qwen/Qwen2.5-7B-Instruct,aqua,0.4641,0.3752,0.5596,0.41,9.8451,7.0,qwen,0,aqua,0,20,0,1,0.1681,0.2143,0.2499,Qwen/Qwen2.5-7B-Instruct,0.4697,0.3808,0.5581,0.42,9.8451,0,aqua,0,20,0,1,0.1764,0.2106,0.2591,0.0056,0.01,-0.0036,0.0092
Qwen/Qwen2.5-32B-Instruct,aqua,0.6222,0.5318,0.7106,0.58,10.5051,32.0,qwen,0,aqua,0,20,0,1,0.3364,0.2054,0.4169,Qwen/Qwen2.5-32B-Instruct,0.6278,0.5384,0.7202,0.59,10.5051,0,aqua,0,20,0,1,0.3481,0.2041,0.4237,0.0056,0.01,-0.0013,0.0068
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.502,0.4475,0.556,0.46,9.0,1.0,llama,1,arc_challenge,0,20,2,0,0.2116,0.2362,0.2658,meta-llama/Llama-3.2-1B-Instruct,0.5065,0.451,0.564,0.49,9.0,1,arc_challenge,0,20,6,0,0.2401,0.2371,0.2694,0.0045,0.03,0.0008,0.0037
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.777,0.705,0.8416,0.7,9.9031,8.0,llama,1,arc_challenge,0,20,1,0,0.49,0.2446,0.5324,meta-llama/Llama-3.1-8B-Instruct,0.803,0.7415,0.8605,0.74,9.9031,1,arc_challenge,0,20,0,0,0.5476,0.2464,0.5566,0.026,0.04,0.0017,0.0243
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4235,0.3785,0.4725,0.4,8.699,0.5,qwen,0,arc_challenge,0,20,0,0,0.16,0.2271,0.1964,Qwen/Qwen2.5-0.5B-Instruct,0.4105,0.363,0.46,0.41,8.699,0,arc_challenge,0,20,1,0,0.1681,0.2346,0.1759,-0.013,0.01,0.0075,-0.0205
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.846,0.776,0.904,0.86,9.8451,7.0,qwen,0,arc_challenge,0,20,0,0,0.7396,0.236,0.61,Qwen/Qwen2.5-7B-Instruct,0.868,0.8105,0.9215,0.86,9.8451,0,arc_challenge,0,20,0,0,0.7396,0.2381,0.6299,0.022,0.0,0.0021,0.0199
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.94,0.896,0.9765,0.93,10.5051,32.0,qwen,0,arc_challenge,0,20,0,0,0.8649,0.2339,0.7061,Qwen/Qwen2.5-32B-Instruct,0.948,0.909,0.9815,0.93,10.5051,0,arc_challenge,0,20,0,0,0.8649,0.2386,0.7094,0.008,0.0,0.0047,0.0033
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.322,0.276,0.3705,0.27,9.0,1.0,llama,1,hellaswag,0,20,6,0,0.0729,0.2473,0.0747,meta-llama/Llama-3.2-1B-Instruct,0.3805,0.333,0.431,0.35,9.0,1,hellaswag,0,20,7,0,0.1225,0.2451,0.1354,0.0585,0.08,-0.0022,0.0607
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.717,0.6535,0.777,0.75,9.9031,8.0,llama,1,hellaswag,0,20,3,0,0.5625,0.2456,0.4714,meta-llama/Llama-3.1-8B-Instruct,0.751,0.697,0.8025,0.76,9.9031,1,hellaswag,0,20,0,0,0.5776,0.2451,0.5059,0.034,0.01,-0.0005,0.0345
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.3455,0.307,0.387,0.34,8.699,0.5,qwen,0,hellaswag,0,20,4,0,0.1156,0.2478,0.0977,Qwen/Qwen2.5-0.5B-Instruct,0.412,0.37,0.4565,0.34,8.699,0,hellaswag,0,20,0,0,0.1156,0.3111,0.1009,0.0665,0.0,0.0634,0.0031
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.769,0.8725,0.81,9.8451,7.0,qwen,0,hellaswag,0,20,0,0,0.6561,0.248,0.5735,Qwen/Qwen2.5-7B-Instruct,0.836,0.781,0.885,0.83,9.8451,0,hellaswag,0,20,0,0,0.6889,0.2471,0.5889,0.0145,0.02,-0.0009,0.0154
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.928,0.88,0.968,0.95,10.5051,32.0,qwen,0,hellaswag,0,20,0,0,0.9025,0.247,0.681,Qwen/Qwen2.5-32B-Instruct,0.942,0.9025,0.977,0.95,10.5051,0,hellaswag,0,20,0,0,0.9025,0.2468,0.6952,0.014,0.0,-0.0002,0.0142
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.279,0.357,0.24,9.0,1.0,llama,1,logiqa,0,20,8,0,0.0576,0.2469,0.0721,meta-llama/Llama-3.2-1B-Instruct,0.2864,0.2459,0.3298,0.31,9.0,1,logiqa,0,20,5,1,0.0961,0.2476,0.0387,-0.0326,0.07,0.0008,-0.0334
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055,0.4385,0.569,0.43,9.9031,8.0,llama,1,logiqa,0,20,8,0,0.1849,0.2606,0.2449,meta-llama/Llama-3.1-8B-Instruct,0.4692,0.4091,0.5328,0.43,9.9031,1,logiqa,0,20,12,1,0.1849,0.2477,0.2215,-0.0363,0.0,-0.0129,-0.0234
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.3205,0.2855,0.358,0.36,8.699,0.5,qwen,0,logiqa,0,20,10,0,0.1296,0.2877,0.0328,Qwen/Qwen2.5-0.5B-Instruct,0.3205,0.2855,0.358,0.36,8.699,0,logiqa,0,20,10,0,0.1296,0.2873,0.0332,0.0,0.0,-0.0004,0.0004
