model_id_baseline,dataset_name,faithfulness_proxy_baseline,proxy_ci_lower_baseline,proxy_ci_upper_baseline,accuracy_no_cot_baseline,log_params_baseline,size_b,family,family_is_llama_baseline,task_cluster_baseline,is_quantized_baseline,n_cot_samples_used_baseline,n_cot_extraction_failures_baseline,n_no_cot_extraction_failures_baseline,accuracy_no_cot_sq_baseline,shuffled_mean_baseline,dependence_baseline,model_id_variant,faithfulness_proxy_variant,proxy_ci_lower_variant,proxy_ci_upper_variant,accuracy_no_cot_variant,log_params_variant,family_is_llama_variant,task_cluster_variant,is_quantized_variant,n_cot_samples_used_variant,n_cot_extraction_failures_variant,n_no_cot_extraction_failures_variant,accuracy_no_cot_sq_variant,shuffled_mean_variant,dependence_variant,delta_faithfulness_proxy,delta_accuracy_no_cot,delta_shuffled_mean,delta_dependence
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,aqua,0.4454,0.3541,0.5306,0.41,10.8451,70.0,llama,1,aqua,1,20,43,2,0.1681,0.2015,0.2439,meta-llama/Llama-3.1-70B-Instruct,0.4878,0.3934,0.5755,0.44,10.8451,1,aqua,0,20,42,2,0.1936,0.2028,0.285,0.0423,0.03,0.0012,0.0411
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,0.6101,0.5126,0.6955,0.57,10.8573,72.0,qwen,0,aqua,1,20,3,1,0.3249,0.2015,0.4086,Qwen/Qwen2.5-72B-Instruct,0.6338,0.5434,0.7137,0.6,10.8573,0,aqua,0,20,2,1,0.36,0.2025,0.4313,0.0237,0.03,0.001,0.0227
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,arc_challenge,0.9055,0.853,0.95,0.87,10.8451,70.0,llama,1,arc_challenge,1,20,9,0,0.7569,0.2352,0.6703,meta-llama/Llama-3.1-70B-Instruct,0.9278,0.8833,0.9682,0.89,10.8451,1,arc_challenge,0,20,2,1,0.7921,0.2372,0.6906,0.0223,0.02,0.002,0.0203
Qwen/Qwen2.5-72B-Instruct-AWQ,arc_challenge,0.9835,0.9665,0.996,0.96,10.8573,72.0,qwen,0,arc_challenge,1,20,5,0,0.9216,0.2353,0.7482,Qwen/Qwen2.5-72B-Instruct,0.9655,0.9395,0.9865,0.96,10.8573,0,arc_challenge,0,20,10,0,0.9216,0.236,0.7295,-0.018,0.0,0.0007,-0.0187
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,hellaswag,0.866,0.8125,0.9165,0.82,10.8451,70.0,llama,1,hellaswag,1,20,0,0,0.6724,0.2453,0.6207,meta-llama/Llama-3.1-70B-Instruct,0.8919,0.8389,0.9374,0.84,10.8451,1,hellaswag,0,20,1,1,0.7056,0.2443,0.6476,0.0259,0.02,-0.001,0.0269
Qwen/Qwen2.5-72B-Instruct-AWQ,hellaswag,0.9385,0.9015,0.97,0.89,10.8573,72.0,qwen,0,hellaswag,1,20,0,0,0.7921,0.2507,0.6878,Qwen/Qwen2.5-72B-Instruct,0.9505,0.9145,0.981,0.88,10.8573,0,hellaswag,0,20,0,0,0.7744,0.2517,0.6988,0.012,-0.01,0.0011,0.0109
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,logiqa,0.7545,0.6925,0.812,0.59,10.8451,70.0,llama,1,logiqa,1,20,8,0,0.3481,0.2551,0.4994,meta-llama/Llama-3.1-70B-Instruct,0.7325,0.6665,0.796,0.57,10.8451,1,logiqa,0,20,6,0,0.3249,0.2566,0.4759,-0.022,-0.02,0.0015,-0.0235
Qwen/Qwen2.5-72B-Instruct-AWQ,logiqa,0.7695,0.705,0.8305,0.61,10.8573,72.0,qwen,0,logiqa,1,20,4,0,0.3721,0.2557,0.5138,Qwen/Qwen2.5-72B-Instruct,0.742,0.669,0.8115,0.65,10.8573,0,logiqa,0,20,0,0,0.4225,0.2598,0.4822,-0.0275,0.04,0.0041,-0.0316
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,openbookqa,0.9237,0.8737,0.9644,0.91,10.8451,70.0,llama,1,openbookqa,1,20,1,3,0.8281,0.2489,0.6748,meta-llama/Llama-3.1-70B-Instruct,0.93,0.8768,0.9747,0.89,10.8451,1,openbookqa,0,20,2,5,0.7921,0.2484,0.6816,0.0063,-0.02,-0.0005,0.0068
Qwen/Qwen2.5-72B-Instruct-AWQ,openbookqa,0.9672,0.9273,0.9949,0.98,10.8573,72.0,qwen,0,openbookqa,1,20,8,1,0.9604,0.2437,0.7235,Qwen/Qwen2.5-72B-Instruct,0.9832,0.9612,0.9985,0.98,10.8573,0,openbookqa,0,20,3,2,0.9604,0.2444,0.7387,0.016,0.0,0.0008,0.0152
