model_id,dataset_name,faithfulness_proxy,accuracy_no_cot,log_params,family_is_llama,task_cluster,size_b
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.23249999999999996,0.19,8.698970004336019,0,aqua,0.5
Qwen/Qwen2.5-0.5B-Instruct,logiqa,0.32050000000000006,0.36,8.698970004336019,0,logiqa,0.5
Qwen/Qwen2.5-0.5B-Instruct,arc_challenge,0.4235,0.4,8.698970004336019,0,arc_challenge,0.5
Qwen/Qwen2.5-0.5B-Instruct,openbookqa,0.42950000000000005,0.46,8.698970004336019,0,openbookqa,0.5
Qwen/Qwen2.5-0.5B-Instruct,hellaswag,0.34550000000000003,0.34,8.698970004336019,0,hellaswag,0.5
Qwen/Qwen2.5-1.5B-Instruct,aqua,0.295959595959596,0.39,9.176091259055681,0,aqua,1.5
Qwen/Qwen2.5-1.5B-Instruct,logiqa,0.457,0.46,9.176091259055681,0,logiqa,1.5
Qwen/Qwen2.5-1.5B-Instruct,arc_challenge,0.704,0.69,9.176091259055681,0,arc_challenge,1.5
Qwen/Qwen2.5-1.5B-Instruct,openbookqa,0.7464999999999999,0.76,9.176091259055681,0,openbookqa,1.5
Qwen/Qwen2.5-1.5B-Instruct,hellaswag,0.6245,0.59,9.176091259055681,0,hellaswag,1.5
Qwen/Qwen2.5-3B-Instruct,aqua,0.353,0.33,9.477121254719663,0,aqua,3.0
Qwen/Qwen2.5-3B-Instruct,logiqa,0.5595,0.47,9.477121254719663,0,logiqa,3.0
Qwen/Qwen2.5-3B-Instruct,arc_challenge,0.7725,0.76,9.477121254719663,0,arc_challenge,3.0
Qwen/Qwen2.5-3B-Instruct,openbookqa,0.8355,0.85,9.477121254719663,0,openbookqa,3.0
Qwen/Qwen2.5-3B-Instruct,hellaswag,0.7675000000000002,0.74,9.477121254719663,0,hellaswag,3.0
Qwen/Qwen2.5-7B-Instruct,aqua,0.4641414141414141,0.41,9.845098040014257,0,aqua,7.0
Qwen/Qwen2.5-7B-Instruct,logiqa,0.6794999999999999,0.51,9.845098040014257,0,logiqa,7.0
Qwen/Qwen2.5-7B-Instruct,arc_challenge,0.8460000000000001,0.86,9.845098040014257,0,arc_challenge,7.0
Qwen/Qwen2.5-7B-Instruct,openbookqa,0.8654999999999999,0.88,9.845098040014257,0,openbookqa,7.0
Qwen/Qwen2.5-7B-Instruct,hellaswag,0.8215,0.81,9.845098040014257,0,hellaswag,7.0
Qwen/Qwen2.5-14B-Instruct,aqua,0.5434343434343434,0.52,10.146128035678238,0,aqua,14.0
Qwen/Qwen2.5-14B-Instruct,logiqa,0.7879999999999999,0.62,10.146128035678238,0,logiqa,14.0
Qwen/Qwen2.5-14B-Instruct,arc_challenge,0.9275,0.92,10.146128035678238,0,arc_challenge,14.0
Qwen/Qwen2.5-14B-Instruct,openbookqa,0.9166666666666666,0.94,10.146128035678238,0,openbookqa,14.0
Qwen/Qwen2.5-14B-Instruct,hellaswag,0.8865,0.92,10.146128035678238,0,hellaswag,14.0
meta-llama/Llama-3.2-1B-Instruct,aqua,0.22700000000000004,0.18,9.0,1,aqua,1.0
meta-llama/Llama-3.2-1B-Instruct,logiqa,0.319,0.24,9.0,1,logiqa,1.0
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.5020000000000001,0.46,9.0,1,arc_challenge,1.0
meta-llama/Llama-3.2-1B-Instruct,openbookqa,0.5770000000000001,0.66,9.0,1,openbookqa,1.0
meta-llama/Llama-3.2-1B-Instruct,hellaswag,0.322,0.27,9.0,1,hellaswag,1.0
Qwen/Qwen2.5-32B-Instruct,aqua,0.6222222222222222,0.58,10.505149978319906,0,aqua,32.0
Qwen/Qwen2.5-32B-Instruct,logiqa,0.7735000000000001,0.67,10.505149978319906,0,logiqa,32.0
Qwen/Qwen2.5-32B-Instruct,arc_challenge,0.94,0.93,10.505149978319906,0,arc_challenge,32.0
Qwen/Qwen2.5-32B-Instruct,openbookqa,0.9611111111111111,0.95,10.505149978319906,0,openbookqa,32.0
Qwen/Qwen2.5-32B-Instruct,hellaswag,0.9280000000000002,0.95,10.505149978319906,0,hellaswag,32.0
meta-llama/Llama-3.2-3B-Instruct,aqua,0.3065656565656566,0.28,9.477121254719663,1,aqua,3.0
meta-llama/Llama-3.2-3B-Instruct,logiqa,0.40549999999999997,0.32,9.477121254719663,1,logiqa,3.0
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,0.7024999999999999,0.64,9.477121254719663,1,arc_challenge,3.0
meta-llama/Llama-3.2-3B-Instruct,openbookqa,0.757,0.74,9.477121254719663,1,openbookqa,3.0
meta-llama/Llama-3.2-3B-Instruct,hellaswag,0.602,0.47,9.477121254719663,1,hellaswag,3.0
meta-llama/Llama-3.1-8B-Instruct,aqua,0.2875000000000001,0.3,9.903089986991944,1,aqua,8.0
meta-llama/Llama-3.1-8B-Instruct,logiqa,0.5055000000000001,0.43,9.903089986991944,1,logiqa,8.0
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.777,0.7,9.903089986991944,1,arc_challenge,8.0
meta-llama/Llama-3.1-8B-Instruct,openbookqa,0.8234999999999999,0.8,9.903089986991944,1,openbookqa,8.0
meta-llama/Llama-3.1-8B-Instruct,hellaswag,0.7169999999999999,0.75,9.903089986991944,1,hellaswag,8.0
