model_id,dataset_name,faithfulness_proxy,proxy_ci_lower,proxy_ci_upper,accuracy_no_cot,log_params,size_b,family,family_is_llama,task_cluster,is_quantized,n_cot_samples_used,n_cot_extraction_failures,n_no_cot_extraction_failures,accuracy_no_cot_sq,k,ci_width
meta-llama/Llama-3.2-1B-Instruct,aqua,0.2066,0.1682,0.2515,0.2,9.0,1.0,llama,1,aqua,0,20,31,1,0.04,20,0.0833
meta-llama/Llama-3.2-3B-Instruct,aqua,0.2798,0.2131,0.3445,0.27,9.4771,3.0,llama,1,aqua,0,20,32,1,0.0729,20,0.1314
meta-llama/Llama-3.1-8B-Instruct,aqua,0.282,0.2165,0.3485,0.3,9.9031,8.0,llama,1,aqua,0,20,32,0,0.09,20,0.132
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,aqua,0.4449,0.3546,0.5306,0.41,10.8451,70.0,llama,1,aqua,1,20,43,2,0.1681,20,0.176
Qwen/Qwen2.5-0.5B-Instruct,aqua,0.2135,0.1805,0.2475,0.19,8.699,0.5,qwen,0,aqua,0,20,14,0,0.0361,20,0.067
Qwen/Qwen2.5-1.5B-Instruct,aqua,0.3051,0.2424,0.3712,0.39,9.1761,1.5,qwen,0,aqua,0,20,12,1,0.1521,20,0.1288
Qwen/Qwen2.5-3B-Instruct,aqua,0.365,0.29,0.4435,0.33,9.4771,3.0,qwen,0,aqua,0,20,0,0,0.1089,20,0.1535
Qwen/Qwen2.5-7B-Instruct,aqua,0.4444,0.3545,0.5414,0.4,9.8451,7.0,qwen,0,aqua,0,20,0,1,0.16,20,0.1869
Qwen/Qwen2.5-14B-Instruct,aqua,0.552,0.4626,0.6455,0.53,10.1461,14.0,qwen,0,aqua,0,20,0,1,0.2809,20,0.1829
Qwen/Qwen2.5-32B-Instruct,aqua,0.6182,0.5298,0.7076,0.58,10.5051,32.0,qwen,0,aqua,0,20,0,1,0.3364,20,0.1778
Qwen/Qwen2.5-72B-Instruct-AWQ,aqua,0.6111,0.5126,0.6965,0.57,10.8573,72.0,qwen,0,aqua,1,20,3,1,0.3249,20,0.1839
meta-llama/Llama-3.2-1B-Instruct,arc_challenge,0.495,0.4335,0.553,0.48,9.0,1.0,llama,1,arc_challenge,0,20,0,0,0.2304,20,0.1195
meta-llama/Llama-3.2-3B-Instruct,arc_challenge,0.7015,0.6345,0.771,0.63,9.4771,3.0,llama,1,arc_challenge,0,20,0,0,0.3969,20,0.1365
meta-llama/Llama-3.1-8B-Instruct,arc_challenge,0.777,0.7064,0.84,0.7,9.9031,8.0,llama,1,arc_challenge,0,20,0,0,0.49,20,0.1336
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,arc_challenge,0.903,0.85,0.949,0.87,10.8451,70.0,llama,1,arc_challenge,1,20,8,0,0.7569,20,0.099
